Country,Indicator,Sex,Education Level,Wealth Quintile,Residence,Value,Time,GDP
Australia,Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,63.93016,2015,47232.62912
Australia,Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,65.67903,2015,47232.62912
Australia,Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,68,2019,52669.4739
Austria,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,84,2019,58091.27226
Austria,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,98.08942,2016,52665.08742
Austria,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,97.10886,2016,52665.08742
Austria,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,97.58574,2016,52665.08742
Belgium,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,80,2019,54269.3895
Belgium,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,97.42,2016,48599.20272
Brazil,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,93.97827,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,93.89124,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Lowest,Total,92.8672,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Second,Total,93.74551,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Middle,Total,94.04676,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Fourth,Total,95.14835,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Highest,Total,95.99448,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,93.88658,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,93.94349,2019,15422.74859
Brazil,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,93.93427,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Female,Primary education,Total,Total,96.5,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Male,Primary education,Total,Total,94.6,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Lowest,Total,92.3,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Second,Total,95.9,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Middle,Total,97.3,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Fourth,Total,98,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Highest,Total,98.6,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Total,ural,92.1,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Total,rban,96.2,2019,15422.74859
Brazil,mpletion rate for children of primary school age,Total,Primary education,Total,Total,95.5,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,0.3738452,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,0.6052542,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Lowest,Total,0.6808402,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Second,Total,0.5704216,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Middle,Total,0.4512376,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Fourth,Total,0.0864561,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Highest,Total,0.2744307,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Total,ural,0.6853864,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Total,rban,0.4531974,2019,15422.74859
Brazil,Out-of-school rate for children of primary school age,Total,Primary education,Total,Total,0.4908559,2019,15422.74859
Brazil,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,48.74705,2013,15669.13989
Brazil,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,54.74484,2013,15669.13989
Brazil,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,51.69619,2013,15669.13989
Brazil,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,54.23238,2013,15669.13989
Brazil,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,51.74447,2013,15669.13989
Brazil,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,53.05256,2013,15669.13989
Canada,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,67.87034,2015,44670.05438
Canada,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,71.10169,2015,44670.05438
Canada,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,69,2019,49286.8116
Canada,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,96.32409,2016,46472.36877
Canada,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,95.27137,2016,46472.36877
Canada,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,95.74039,2016,46472.36877
Chile,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,90.1,2017,24402.00537
Chile,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,87.7,2017,24402.00537
Chile,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,90.2,2017,24402.00537
Chile,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,88.7,2017,24402.00537
Chile,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,88.8,2017,24402.00537
Chile,mpletion rate for children of primary school age,Female,Primary education,Total,Total,96.91707,2017,24402.00537
Chile,mpletion rate for children of primary school age,Male,Primary education,Total,Total,95.68824,2017,24402.00537
Chile,mpletion rate for children of primary school age,Total,Primary education,Total,ural,96.33806,2017,24402.00537
Chile,mpletion rate for children of primary school age,Total,Primary education,Total,rban,96.27994,2017,24402.00537
Chile,mpletion rate for children of primary school age,Total,Primary education,Total,Total,96.28756,2017,24402.00537
Chile,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,0.9,2017,24402.00537
Chile,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,1.7,2017,24402.00537
Chile,Out-of-school rate for children of primary school age,Total,Primary education,Total,ural,0.6,2017,24402.00537
Chile,Out-of-school rate for children of primary school age,Total,Primary education,Total,rban,1.5,2017,24402.00537
Chile,Out-of-school rate for children of primary school age,Total,Primary education,Total,Total,1.3,2017,24402.00537
Chile,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,75.3039,2013,22352.53071
Chile,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,75.53046,2013,22352.53071
Chile,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,75.41675,2013,22352.53071
Chile,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,72.94145,2013,22352.53071
Chile,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,66.81757,2013,22352.53071
Chile,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,69.74116,2013,22352.53071
China,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,94.8,2015,12865.80038
China,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,94.8,2015,12865.80038
China,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,94.7,2015,12865.80038
China,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,95,2015,12865.80038
China,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,94.8,2015,12865.80038
China,mpletion rate for children of primary school age,Female,Primary education,Total,Total,97,2015,12865.80038
China,mpletion rate for children of primary school age,Male,Primary education,Total,Total,97.1,2015,12865.80038
China,mpletion rate for children of primary school age,Total,Primary education,Total,ural,96.2,2015,12865.80038
China,mpletion rate for children of primary school age,Total,Primary education,Total,rban,98,2015,12865.80038
China,mpletion rate for children of primary school age,Total,Primary education,Total,Total,97.1,2015,12865.80038
China,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,5.2,2015,12865.80038
China,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,5.2,2015,12865.80038
China,Out-of-school rate for children of primary school age,Total,Primary education,Total,ural,5.3,2015,12865.80038
China,Out-of-school rate for children of primary school age,Total,Primary education,Total,rban,5,2015,12865.80038
China,Out-of-school rate for children of primary school age,Total,Primary education,Total,Total,5.2,2015,12865.80038
Colombia,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,94.6,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,93.7,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Lowest,Total,93.2,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Second,Total,94.3,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Middle,Total,94.6,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Fourth,Total,93.8,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Highest,Total,95.6,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,93.9,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,94.3,2015,13330.56204
Colombia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,94.2,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Female,Primary education,Total,Total,94.7,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Male,Primary education,Total,Total,91.4,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Lowest,Total,84.4,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Second,Total,92.1,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Middle,Total,95.4,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Fourth,Total,97.6,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Highest,Total,98.3,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Total,ural,86.5,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Total,rban,95.4,2015,13330.56204
Colombia,mpletion rate for children of primary school age,Total,Primary education,Total,Total,93,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,1.61092,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,2.198655,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Lowest,Total,2.551666,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Second,Total,2.198711,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Middle,Total,1.488963,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Fourth,Total,1.192265,2015,13330.56204
